# ============================================================================
#  Los drops de Secret Lair.
#
#  ESTO HAY QUE ESCRIBIRLO A MANO, y conviene saber por que antes de tocarlo.
#
#  Forge NO guarda a que drop pertenece cada carta. "Secret Lair Drop.txt" es
#  una sola seccion [cards] de 2.743 lineas y la unica clave extra que usa en
#  todo el fichero es flavorName. Los drops SI estan -- en forma de bloques
#  consecutivos de numeros de coleccionista -- pero no se pueden detectar
#  solos: entre dos drops no hay hueco, los tamanyos varian muchisimo (de 3
#  cartas a las 26 de Masters of the Universe) y el artista no los separa (el
#  de Tsushima lleva dos).
#
#  Se agrupa por MARCA, no por drop comercial: Fallout salieron en cuatro
#  drops y aqui es una linea. Lo que se compra es "el de Fallout".
#
#  DESPUES DE actualizar.bat: si el rebase ha tocado "Secret Lair Drop.txt",
#  esta tabla se ha quedado corta y no avisa sola. Los numeros nuevos salen
#  con:
#      git diff --name-status <antes> upstream/master -- "forge-gui/res/editions/Secret Lair Drop.txt"
#  y lo que no caiga en ningun rango de aqui es un drop sin nombre.
#
#  Formato:   nombre | numeros
#  Numeros:   rangos (143-147) y sueltos (581), separados por comas.
#             Los prefijos y sufijos del numero se ignoran al comparar, asi
#             que "F798" entra en el rango 798 y "1508" pilla tambien a
#             "1508" pero no a "1508 con marca de variante" -- ver
#             SecretLairDrops.matches.
#
#  Lo que NO esta en un rango no se pierde: sigue saliendo por el sobre
#  sorpresa, que reparte del saco entero de exclusivas.
#
#  Las lineas que empiezan por # son comentario. El nombre se ensenya tal
#  cual (son marcas: no se traducen).
# ============================================================================

#  Hay DOS clases de cruce y no valen lo mismo. Los de siempre (Walking Dead,
#  Stranger Things, Sonic) traen cartas que no existen en ningun otro sitio.
#  Los nuevos son RESKINS: He-Man es Winota, Miku es Trostani -- misma carta,
#  arte y nombre nuevos, 0 exclusivas. QuestCheck solo tolera UN drop sin
#  exclusivas ("si no, son sobres caros"), asi que aqui esta Masters of the
#  Universe y NO esta Hatsune Miku (2429-2443). No es un olvido: si se anyade,
#  run.cmd questcheck falla.

# --- Cruces con otras marcas -----------------------------------------------
The Walking Dead              | 143-147, 581
Stranger Things               | 340-347, 609
Street Fighter                | 428-435
Ponies: The Galloping         | 798, 1537-1540
Dungeons & Dragons: Honor Among Thieves | 1237-1242
Tomb Raider                   | 1501-1506
Doctor Who                    | 1580-1584
Marvel: Deadpool              | 1753-1757
Sonic the Hedgehog            | 2081-2087
Jaws                          | 2175-2179
The Last of Us                | 2197-2205
God of War                    | 2207-2215
Uncharted                     | 2216-2220
Horizon Zero Dawn             | 2221-2225
Ghost of Tsushima             | 2226-2230
Fallout                       | 2447-2455
Masters of the Universe       | 2768-2793
Stardew Valley                | 2801-2806
